tab	measurements
analysts	citations	description	dir_dec	dir_inc	experiment	magn_moment	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
me	This study		295.600006	-42.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	6.136184e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI0	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	0	MGH1	u	0	0	0	0	273.
me	This study		302.399994	-42.400002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.601316e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI1	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	1	MGH1	u	0	0	0	1	4.730e+02
me	This study		303.000000	-46.299999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.958553e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI2	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	2	MGH1	u	6.000e-05	0	-90	2	4.730e+02
me	This study		300.200012	-40.700001	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.425658e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI3	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	3	MGH1	u	0	0	0	3	5.230e+02
me	This study		300.200012	-33.900002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.955921e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI4	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	4	MGH1	u	6.000e-05	0	-90	4	5.230e+02
me	This study		297.399994	-42.099998	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.171053e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI5	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	5	MGH1	u	0	0	0	5	5.730e+02
me	This study		293.799988	-49.500000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.877632e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI6	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	6	MGH1	u	6.000e-05	0	-90	6	5.730e+02
me	This study		297.899994	-42.299999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.926316e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI7	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	7	MGH1	u	0	0	0	7	6.130e+02
me	This study		293.100006	-34.700001	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.476316e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI8	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	8	MGH1	u	6.000e-05	0	-90	8	5.230e+02
me	This study		295.000000	-29.100000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.194079e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI9	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	9	MGH1	u	6.000e-05	0	-90	9	6.130e+02
me	This study		297.100006	-42.000000	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.719079e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI10	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	10	MGH1	u	0	0	0	10	6.430e+02
me	This study		298.700012	-51.799999	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	5.717764e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI11	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	11	MGH1	u	6.000e-05	0	-90	11	6.430e+02
me	This study		298.600006	-41.900002	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI	4.563158e-05	273.	MGH1_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-ZI12	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI	g	12	MGH1	u	0	0	0	12	6.730e+02
